rate_id,service_id,fee_group,fee_code,fee_code_carrier,fee_type,commercial,residential,additional,rate_shopping,fee,start_date,end_date
,3058,Dimension Non-complance Correction,DNC,DNC,,1,1,1,0,1.5,2024/8/5 0:00,2099/12/31 23:59
,3058,Distribution Handling Surcharge,DHS,DHS,,1,1,1,1,0,2024/8/5 0:00,2099/12/31 23:59
,3059,Non-Standard Extra Length Charge,NLL,NLL,{"min_length":"30.01"},1,1,1,1,8.4,2024/8/5 0:00,2099/12/31 23:59
,3059,Non-Standard Length Charge,NSL,NSL,"{""min_length"": ""22.01"", ""max_length"": ""30""}",1,1,1,1,4,2024/8/5 0:00,2099/12/31 23:59
,3059,Non-Standard Cube Charge,NPV,NPV,{"min_volume":"3456.01"},1,1,1,1,18,2024/8/5 0:00,2099/12/31 23:59
,3059,Dimension Non-complance Correction,DNC,DNC,,1,1,1,0,1.5,2024/8/5 0:00,2099/12/31 23:59
,3059,Distribution Handling Surcharge,DHS,DHS,,1,1,1,1,0,2024/8/5 0:00,2099/12/31 23:59
,3060,Non-Standard Extra Length Charge,NLL,NLL,{"min_length":"30.01"},1,1,1,1,8.4,2024/8/5 0:00,2099/12/31 23:59
,3060,Non-Standard Length Charge,NSL,NSL,"{""min_length"": ""22.01"", ""max_length"": ""30""}",1,1,1,1,4,2024/8/5 0:00,2099/12/31 23:59
,3060,Non-Standard Cube Charge,NPV,NPV,{"min_volume":"3456.01"},1,1,1,1,18,2024/8/5 0:00,2099/12/31 23:59
,3060,Dimension Non-complance Correction,DNC,DNC,,1,1,1,0,1.5,2024/8/5 0:00,2099/12/31 23:59
,3060,Distribution Handling Surcharge,DHS,DHS,,1,1,1,1,0,2024/8/5 0:00,2099/12/31 23:59
,3061,Non-Standard Extra Length Charge,NLL,NLL,{"min_length":"30.01"},1,1,1,1,8.4,2024/8/5 0:00,2099/12/31 23:59
,3061,Non-Standard Length Charge,NSL,NSL,"{""min_length"": ""22.01"", ""max_length"": ""30""}",1,1,1,1,4,2024/8/5 0:00,2099/12/31 23:59
,3061,Non-Standard Cube Charge,NPV,NPV,{"min_volume":"3456.01"},1,1,1,1,18,2024/8/5 0:00,2099/12/31 23:59
,3061,Dimension Non-complance Correction,DNC,DNC,,1,1,1,0,1.5,2024/8/5 0:00,2099/12/31 23:59
,3061,Distribution Handling Surcharge,DHS,DHS,,1,1,1,1,0,2024/8/5 0:00,2099/12/31 23:59
,3062,Non-Standard Extra Length Charge,NLL,NLL,{"min_length":"30.01"},1,1,1,1,8.4,2024/8/5 0:00,2099/12/31 23:59
,3062,Non-Standard Length Charge,NSL,NSL,"{""min_length"": ""22.01"", ""max_length"": ""30""}",1,1,1,1,4,2024/8/5 0:00,2099/12/31 23:59
,3062,Non-Standard Cube Charge,NPV,NPV,{"min_volume":"3456.01"},1,1,1,1,18,2024/8/5 0:00,2099/12/31 23:59
,3062,Dimension Non-complance Correction,DNC,DNC,,1,1,1,0,1.5,2024/8/5 0:00,2099/12/31 23:59
,3062,Distribution Handling Surcharge,DHS,DHS,,1,1,1,1,0,2024/8/5 0:00,2099/12/31 23:59
,3063,Non-Standard Extra Length Charge,NLL,NLL,{"min_length":"30.01"},1,1,1,1,8.4,2024/8/5 0:00,2099/12/31 23:59
,3063,Non-Standard Length Charge,NSL,NSL,"{""min_length"": ""22.01"", ""max_length"": ""30""}",1,1,1,1,4,2024/8/5 0:00,2099/12/31 23:59
,3063,Non-Standard Cube Charge,NPV,NPV,{"min_volume":"3456.01"},1,1,1,1,18,2024/8/5 0:00,2099/12/31 23:59
,3063,Dimension Non-complance Correction,DNC,DNC,,1,1,1,0,1.5,2024/8/5 0:00,2099/12/31 23:59
,3063,Distribution Handling Surcharge,DHS,DHS,,1,1,1,1,0,2024/8/5 0:00,2099/12/31 23:59
,3064,Non-Standard Extra Length Charge,NLL,NLL,"[{""min_length"":""34.01""},{""min_width"":""17.01""},{""min_height"":""17.01""}]",1,1,1,1,7,2024/8/5 0:00,2099/12/31 23:59
,3064,Non-Standard Length Charge,NSL,NSL,"{""min_length"": ""22.01"", ""max_length"": ""34""}",1,1,1,1,4,2024/8/5 0:00,2099/12/31 23:59
,3064,Distribution Handling Surcharge,DHS,DHS,,1,1,1,1,0,2024/8/5 0:00,2099/12/31 23:59
,3065,Non-Standard Extra Length Charge,NLL,NLL,"[{""min_length"":""34.01""},{""min_width"":""17.01""},{""min_height"":""17.01""}]",1,1,1,1,7,2024/8/5 0:00,2099/12/31 23:59
,3065,Non-Standard Length Charge,NSL,NSL,"{""min_length"": ""22.01"", ""max_length"": ""34""}",1,1,1,1,4,2024/8/5 0:00,2099/12/31 23:59
,3065,Distribution Handling Surcharge,DHS,DHS,,1,1,1,1,0,2024/8/5 0:00,2099/12/31 23:59
,3066,Non-Standard Extra Length Charge,NLL,NLL,"[{""min_length"":""34.01""},{""min_width"":""17.01""},{""min_height"":""17.01""}]",1,1,1,1,7,2024/8/5 0:00,2099/12/31 23:59
,3066,Non-Standard Length Charge,NSL,NSL,"{""min_length"": ""22.01"", ""max_length"": ""34""}",1,1,1,1,4,2024/8/5 0:00,2099/12/31 23:59
,3066,Distribution Handling Surcharge,DHS,DHS,,1,1,1,1,0,2024/8/5 0:00,2099/12/31 23:59
,3067,Non-Standard Extra Length Charge,NLL,NLL,"[{""min_length"":""34.01""},{""min_width"":""17.01""},{""min_height"":""17.01""}]",1,1,1,1,7,2024/8/5 0:00,2099/12/31 23:59
,3067,Non-Standard Length Charge,NSL,NSL,"{""min_length"": ""22.01"", ""max_length"": ""34""}",1,1,1,1,4,2024/8/5 0:00,2099/12/31 23:59
,3067,Distribution Handling Surcharge,DHS,DHS,,1,1,1,1,0,2024/8/5 0:00,2099/12/31 23:59
,3068,Non-Standard Extra Length Charge,NLL,NLL,"[{""min_length"":""34.01""},{""min_width"":""17.01""},{""min_height"":""17.01""}]",1,1,1,1,7,2024/8/5 0:00,2099/12/31 23:59
,3068,Non-Standard Length Charge,NSL,NSL,"{""min_length"": ""22.01"", ""max_length"": ""34""}",1,1,1,1,4,2024/8/5 0:00,2099/12/31 23:59
,3068,Distribution Handling Surcharge,DHS,DHS,,1,1,1,1,0,2024/8/5 0:00,2099/12/31 23:59
,3069,Non-Standard Extra Length Charge,NLL,NLL,"[{""min_length"":""34.01""},{""min_width"":""17.01""},{""min_height"":""17.01""}]",1,1,1,1,7,2024/8/5 0:00,2099/12/31 23:59
,3069,Non-Standard Length Charge,NSL,NSL,"{""min_length"": ""22.01"", ""max_length"": ""34""}",1,1,1,1,4,2024/8/5 0:00,2099/12/31 23:59
,3069,Distribution Handling Surcharge,DHS,DHS,,1,1,1,1,0,2024/8/5 0:00,2099/12/31 23:59
,3070,Non-Standard Extra Length Charge,NLL,NLL,"[{""min_length"":""34.01""},{""min_width"":""17.01""},{""min_height"":""17.01""}]",1,1,1,1,7,2024/8/5 0:00,2099/12/31 23:59
,3070,Non-Standard Length Charge,NSL,NSL,"{""min_length"": ""22.01"", ""max_length"": ""34""}",1,1,1,1,4,2024/8/5 0:00,2099/12/31 23:59
,3070,Distribution Handling Surcharge,DHS,DHS,,1,1,1,1,0,2024/8/5 0:00,2099/12/31 23:59
,3071,Non-Standard Extra Length Charge,NLL,NLL,"[{""min_length"":""34.01""},{""min_width"":""17.01""},{""min_height"":""17.01""}]",1,1,1,1,7,2024/8/5 0:00,2099/12/31 23:59
,3071,Non-Standard Length Charge,NSL,NSL,"{""min_length"": ""22.01"", ""max_length"": ""34""}",1,1,1,1,4,2024/8/5 0:00,2099/12/31 23:59
,3071,Distribution Handling Surcharge,DHS,DHS,,1,1,1,1,0,2024/8/5 0:00,2099/12/31 23:59
,3072,Non-Standard Cube Charge,NPV,NPV,{"min_volume":"3456.01"},1,1,1,1,30,2024/8/5 0:00,2099/12/31 23:59
,3072,Non-Standard Length Charge,NSL,NSL,"{""min_length"": ""22.01"", ""max_length"":""27""}",1,1,1,1,5,2024/8/5 0:00,2099/12/31 23:59
,3072,Non-Standard Extra Length Charge,NLL,NLL,"{""min_girth"":""50.01"",""max_girth"":""84""}",1,1,1,1,30,2024/8/5 0:00,2099/12/31 23:59
,3072,Distribution Handling Surcharge,DHS,DHS,,1,1,1,1,0,2024/8/5 0:00,2099/12/31 23:59
,3073,Non-Standard Cube Charge,NPV,NPV,{"min_volume":"3456.01"},1,1,1,1,30,2024/8/5 0:00,2099/12/31 23:59
,3073,Non-Standard Length Charge,NSL,NSL,"{""min_length"": ""22.01"", ""max_length"":""27""}",1,1,1,1,5,2024/8/5 0:00,2099/12/31 23:59
,3073,Non-Standard Extra Length Charge,NLL,NLL,"{""min_girth"":""50.01"",""max_girth"":""84""}",1,1,1,1,30,2024/8/5 0:00,2099/12/31 23:59
,3073,Distribution Handling Surcharge,DHS,DHS,,1,1,1,1,0,2024/8/5 0:00,2099/12/31 23:59
,3074,Non-Standard Cube Charge,NPV,NPV,{"min_volume":"3456.01"},1,1,1,1,30,2024/8/5 0:00,2099/12/31 23:59
,3074,Non-Standard Length Charge,NSL,NSL,"{""min_length"": ""22.01"", ""max_length"":""27""}",1,1,1,1,5,2024/8/5 0:00,2099/12/31 23:59
,3074,Non-Standard Extra Length Charge,NLL,NLL,"{""min_girth"":""50.01"",""max_girth"":""84""}",1,1,1,1,30,2024/8/5 0:00,2099/12/31 23:59
,3074,Distribution Handling Surcharge,DHS,DHS,,1,1,1,1,0,2024/8/5 0:00,2099/12/31 23:59
,3075,Non-Standard Cube Charge,NPV,NPV,{"min_volume":"3456.01"},1,1,1,1,30,2024/8/5 0:00,2099/12/31 23:59
,3075,Non-Standard Length Charge,NSL,NSL,"{""min_length"": ""22.01"", ""max_length"":""27""}",1,1,1,1,5,2024/8/5 0:00,2099/12/31 23:59
,3075,Non-Standard Extra Length Charge,NLL,NLL,"{""min_girth"":""50.01"",""max_girth"":""84""}",1,1,1,1,30,2024/8/5 0:00,2099/12/31 23:59
,3075,Distribution Handling Surcharge,DHS,DHS,,1,1,1,1,0,2024/8/5 0:00,2099/12/31 23:59
,3076,Non-Standard Cube Charge,NPV,NPV,{"min_volume":"3456.01"},1,1,1,1,30,2024/8/5 0:00,2099/12/31 23:59
,3076,Non-Standard Length Charge,NSL,NSL,"{""min_length"": ""22.01"", ""max_length"":""27""}",1,1,1,1,5,2024/8/5 0:00,2099/12/31 23:59
,3076,Non-Standard Extra Length Charge,NLL,NLL,"{""min_girth"":""50.01"",""max_girth"":""84""}",1,1,1,1,30,2024/8/5 0:00,2099/12/31 23:59
,3076,Distribution Handling Surcharge,DHS,DHS,,1,1,1,1,0,2024/8/5 0:00,2099/12/31 23:59
,3077,Non-Standard Cube Charge,NPV,NPV,{"min_volume":"3456.01"},1,1,1,1,30,2024/8/5 0:00,2099/12/31 23:59
,3077,Non-Standard Length Charge,NSL,NSL,"{""min_length"": ""22.01"", ""max_length"":""27""}",1,1,1,1,5,2024/8/5 0:00,2099/12/31 23:59
,3077,Non-Standard Extra Length Charge,NLL,NLL,"{""min_girth"":""50.01"",""max_girth"":""84""}",1,1,1,1,30,2024/8/5 0:00,2099/12/31 23:59
,3077,Distribution Handling Surcharge,DHS,DHS,,1,1,1,1,0,2024/8/5 0:00,2099/12/31 23:59
,3078,Non-Standard Cube Charge,NPV,NPV,{"min_volume":"3456.01"},1,1,1,1,30,2024/8/5 0:00,2099/12/31 23:59
,3078,Non-Standard Length Charge,NSL,NSL,"{""min_length"": ""22.01"", ""max_length"":""27""}",1,1,1,1,5,2024/8/5 0:00,2099/12/31 23:59
,3078,Non-Standard Extra Length Charge,NLL,NLL,"{""min_girth"":""50.01"",""max_girth"":""84""}",1,1,1,1,30,2024/8/5 0:00,2099/12/31 23:59
,3078,Distribution Handling Surcharge,DHS,DHS,,1,1,1,1,0,2024/8/5 0:00,2099/12/31 23:59
,3079,Non-Standard Cube Charge,NPV,NPV,{"min_volume":"3456.01"},1,1,1,1,30,2024/8/5 0:00,2099/12/31 23:59
,3079,Non-Standard Length Charge,NSL,NSL,"{""min_length"": ""22.01"", ""max_length"":""27""}",1,1,1,1,5,2024/8/5 0:00,2099/12/31 23:59
,3079,Non-Standard Extra Length Charge,NLL,NLL,"{""min_girth"":""50.01"",""max_girth"":""84""}",1,1,1,1,30,2024/8/5 0:00,2099/12/31 23:59
,3079,Distribution Handling Surcharge,DHS,DHS,,1,1,1,1,0,2024/8/5 0:00,2099/12/31 23:59
,3080,Non-Standard Extra Length Charge,NLL,NLL,{"min_length":"30.01"},1,1,1,1,8.4,2024/8/5 0:00,2099/12/31 23:59
,3080,Non-Standard Length Charge,NSL,NSL,"{""min_length"": ""22.01"", ""max_length"": ""30""}",1,1,1,1,4,2024/8/5 0:00,2099/12/31 23:59
,3080,Non-Standard Cube Charge,NPV,NPV,{"min_volume":"3456.01"},1,1,1,1,18,2024/8/5 0:00,2099/12/31 23:59
,3080,Non-Standard Width Charge,NWL,NWL,{"min_width":"17.01"},1,1,1,1,7,2024/8/5 0:00,2099/12/31 23:59
,3080,Non-Standard Height Charge,NHL,NHL,{"min_height":"17.01"},1,1,1,1,7,2024/8/5 0:00,2099/12/31 23:59
,3080,Dimension Non-complance Correction,DNC,DNC,,1,1,1,0,1.5,2024/8/5 0:00,2099/12/31 23:59
,3080,Distribution Handling Surcharge,DHS,DHS,,1,1,1,1,0,2024/8/5 0:00,2099/12/31 23:59
,3081,Non-Standard Extra Length Charge,NLL,NLL,{"min_length":"30.01"},1,1,1,1,8.4,2024/8/5 0:00,2099/12/31 23:59
,3081,Non-Standard Length Charge,NSL,NSL,"{""min_length"": ""22.01"", ""max_length"": ""30""}",1,1,1,1,4,2024/8/5 0:00,2099/12/31 23:59
,3081,Non-Standard Cube Charge,NPV,NPV,{"min_volume":"3456.01"},1,1,1,1,18,2024/8/5 0:00,2099/12/31 23:59
,3081,Non-Standard Width Charge,NWL,NWL,{"min_width":"17.01"},1,1,1,1,7,2024/8/5 0:00,2099/12/31 23:59
,3081,Non-Standard Height Charge,NHL,NHL,{"min_height":"17.01"},1,1,1,1,7,2024/8/5 0:00,2099/12/31 23:59
,3081,Dimension Non-complance Correction,DNC,DNC,,1,1,1,0,1.5,2024/8/5 0:00,2099/12/31 23:59
,3081,Distribution Handling Surcharge,DHS,DHS,,1,1,1,1,0,2024/8/5 0:00,2099/12/31 23:59
,3082,Non-Standard Extra Length Charge,NLL,NLL,{"min_length":"30.01"},1,1,1,1,8.4,2024/8/5 0:00,2099/12/31 23:59
,3082,Non-Standard Length Charge,NSL,NSL,"{""min_length"": ""22.01"", ""max_length"": ""30""}",1,1,1,1,4,2024/8/5 0:00,2099/12/31 23:59
,3082,Non-Standard Cube Charge,NPV,NPV,{"min_volume":"3456.01"},1,1,1,1,18,2024/8/5 0:00,2099/12/31 23:59
,3082,Non-Standard Width Charge,NWL,NWL,{"min_width":"17.01"},1,1,1,1,7,2024/8/5 0:00,2099/12/31 23:59
,3082,Non-Standard Height Charge,NHL,NHL,{"min_height":"17.01"},1,1,1,1,7,2024/8/5 0:00,2099/12/31 23:59
,3082,Dimension Non-complance Correction,DNC,DNC,,1,1,1,0,1.5,2024/8/5 0:00,2099/12/31 23:59
,3082,Distribution Handling Surcharge,DHS,DHS,,1,1,1,1,0,2024/8/5 0:00,2099/12/31 23:59
,3083,Non-Standard Extra Length Charge,NLL,NLL,{"min_length":"30.01"},1,1,1,1,8.4,2024/8/5 0:00,2099/12/31 23:59
,3083,Non-Standard Length Charge,NSL,NSL,"{""min_length"": ""22.01"", ""max_length"": ""30""}",1,1,1,1,4,2024/8/5 0:00,2099/12/31 23:59
,3083,Non-Standard Cube Charge,NPV,NPV,{"min_volume":"3456.01"},1,1,1,1,18,2024/8/5 0:00,2099/12/31 23:59
,3083,Non-Standard Width Charge,NWL,NWL,{"min_width":"17.01"},1,1,1,1,7,2024/8/5 0:00,2099/12/31 23:59
,3083,Non-Standard Height Charge,NHL,NHL,{"min_height":"17.01"},1,1,1,1,7,2024/8/5 0:00,2099/12/31 23:59
,3083,Dimension Non-complance Correction,DNC,DNC,,1,1,1,0,1.5,2024/8/5 0:00,2099/12/31 23:59
,3083,Distribution Handling Surcharge,DHS,DHS,,1,1,1,1,0,2024/8/5 0:00,2099/12/31 23:59
,3084,Non-Standard Extra Length Charge,NLL,NLL,{"min_length":"30.01"},1,1,1,1,8.4,2024/8/5 0:00,2099/12/31 23:59
,3084,Non-Standard Length Charge,NSL,NSL,"{""min_length"": ""22.01"", ""max_length"": ""30""}",1,1,1,1,4,2024/8/5 0:00,2099/12/31 23:59
,3084,Non-Standard Cube Charge,NPV,NPV,{"min_volume":"3456.01"},1,1,1,1,18,2024/8/5 0:00,2099/12/31 23:59
,3084,Non-Standard Width Charge,NWL,NWL,{"min_width":"17.01"},1,1,1,1,7,2024/8/5 0:00,2099/12/31 23:59
,3084,Non-Standard Height Charge,NHL,NHL,{"min_height":"17.01"},1,1,1,1,7,2024/8/5 0:00,2099/12/31 23:59
,3084,Dimension Non-complance Correction,DNC,DNC,,1,1,1,0,1.5,2024/8/5 0:00,2099/12/31 23:59
,3084,Distribution Handling Surcharge,DHS,DHS,,1,1,1,1,0,2024/8/5 0:00,2099/12/31 23:59
,3085,Non-Standard Extra Length Charge,NLL,NLL,{"min_length":"30.01"},1,1,1,1,8.4,2024/8/5 0:00,2099/12/31 23:59
,3085,Non-Standard Length Charge,NSL,NSL,"{""min_length"": ""22.01"", ""max_length"": ""30""}",1,1,1,1,4,2024/8/5 0:00,2099/12/31 23:59
,3085,Non-Standard Cube Charge,NPV,NPV,{"min_volume":"3456.01"},1,1,1,1,18,2024/8/5 0:00,2099/12/31 23:59
,3085,Non-Standard Width Charge,NWL,NWL,{"min_width":"17.01"},1,1,1,1,7,2024/8/5 0:00,2099/12/31 23:59
,3085,Non-Standard Height Charge,NHL,NHL,{"min_height":"17.01"},1,1,1,1,7,2024/8/5 0:00,2099/12/31 23:59
,3085,Dimension Non-complance Correction,DNC,DNC,,1,1,1,0,1.5,2024/8/5 0:00,2099/12/31 23:59
,3085,Distribution Handling Surcharge,DHS,DHS,,1,1,1,1,0,2024/8/5 0:00,2099/12/31 23:59
,3086,Additional Handling Charge,AHW-1,AHW,"{""min_weight"":""800.01"",""min_zone"":2,""max_zone"":2}",1,1,1,1,5,2024/8/5 0:00,2099/12/31 23:59
,3086,Additional Handling Charge,AHW-2,AHW,"{""min_weight"":""800.01"",""min_zone"":3,""max_zone"":4}",1,1,1,1,5.25,2024/8/5 0:00,2099/12/31 23:59
,3086,Additional Handling Charge,AHW-3,AHW,"{""min_weight"":""800.01"",""min_zone"":5,""max_zone"":6}",1,1,1,1,5.75,2024/8/5 0:00,2099/12/31 23:59
,3086,Additional Handling Charge,AHW-4,AHW,"{""min_weight"":""800.01"",""min_zone"":7,""max_zone"":8}",1,1,1,1,6,2024/8/5 0:00,2099/12/31 23:59
,3086,Additional Handling Charge,AHL-1,AHL,"{""min_length"":""48.01"",""max_length"":""96"",""min_zone"":2,""max_zone"":2}",1,1,1,1,3.5,2024/8/5 0:00,2099/12/31 23:59
,3086,Additional Handling Charge,AHL-2,AHL,"{""min_length"":""48.01"",""max_length"":""96"",""min_zone"":3,""max_zone"":4}",1,1,1,1,4,2024/8/5 0:00,2099/12/31 23:59
,3086,Additional Handling Charge,AHL-3,AHL,"{""min_length"":""48.01"",""max_length"":""96"",""min_zone"":5,""max_zone"":6}",1,1,1,1,4.25,2024/8/5 0:00,2099/12/31 23:59
,3086,Additional Handling Charge,AHL-4,AHL,"{""min_length"":""48.01"",""max_length"":""96"",""min_zone"":7,""max_zone"":8}",1,1,1,1,4.5,2024/8/5 0:00,2099/12/31 23:59
,3086,Additional Handling Charge,AHS-1,AHS,"{""min_width"":""30.01"",""min_zone"":2,""max_zone"":2}",1,1,1,1,3.5,2024/8/5 0:00,2099/12/31 23:59
,3086,Additional Handling Charge,AHS-2,AHS,"{""min_width"":""30.01"",""min_zone"":3,""max_zone"":4}",1,1,1,1,4,2024/8/5 0:00,2099/12/31 23:59
,3086,Additional Handling Charge,AHS-3,AHS,"{""min_width"":""30.01"",""min_zone"":5,""max_zone"":6}",1,1,1,1,4.25,2024/8/5 0:00,2099/12/31 23:59
,3086,Additional Handling Charge,AHS-4,AHS,"{""min_width"":""30.01"",""min_zone"":7,""max_zone"":8}",1,1,1,1,4.5,2024/8/5 0:00,2099/12/31 23:59
,3086,Additional Handling Charge,AHG-1,AHG,"{""min_girth"":""105.01"",""min_zone"":2,""max_zone"":2}",1,1,1,1,3.5,2024/8/5 0:00,2099/12/31 23:59
,3086,Additional Handling Charge,AHG-2,AHG,"{""min_girth"":""105.01"",""min_zone"":3,""max_zone"":4}",1,1,1,1,4,2024/8/5 0:00,2099/12/31 23:59
,3086,Additional Handling Charge,AHG-3,AHG,"{""min_girth"":""105.01"",""min_zone"":5,""max_zone"":6}",1,1,1,1,4.25,2024/8/5 0:00,2099/12/31 23:59
,3086,Additional Handling Charge,AHG-4,AHG,"{""min_girth"":""105.01"",""min_zone"":7,""max_zone"":8}",1,1,1,1,4.5,2024/8/5 0:00,2099/12/31 23:59
,3086,Additional Handling Charge,AHC-1,AHC,"{""min_zone"":2,""max_zone"":2}",1,1,1,1,3.5,2024/8/5 0:00,2099/12/31 23:59
,3086,Additional Handling Charge,AHC-2,AHC,"{""min_zone"":3,""max_zone"":4}",1,1,1,1,4,2024/8/5 0:00,2099/12/31 23:59
,3086,Additional Handling Charge,AHC-3,AHC,"{""min_zone"":5,""max_zone"":6}",1,1,1,1,4.5,2024/8/5 0:00,2099/12/31 23:59
,3086,Additional Handling Charge,AHC-4,AHC,"{""min_zone"":7,""max_zone"":8}",1,1,1,1,5,2024/8/5 0:00,2099/12/31 23:59
,3086,Large Package Surcharge,LLC-1,LLC,"{""min_length"":""96.01"",""min_zone"":2,""max_zone"":2}",1,0,1,1,26.5,2024/8/5 0:00,2099/12/31 23:59
,3086,Large Package Surcharge,LLC-2,LLC,"{""min_length"":""96.01"",""min_zone"":3,""max_zone"":4}",1,0,1,1,29,2024/8/5 0:00,2099/12/31 23:59
,3086,Large Package Surcharge,LLC-3,LLC,"{""min_length"":""96.01"",""min_zone"":5,""max_zone"":6}",1,0,1,1,31.5,2024/8/5 0:00,2099/12/31 23:59
,3086,Large Package Surcharge,LLC-4,LLC,"{""min_length"":""96.01"",""min_zone"":7,""max_zone"":8}",1,0,1,1,33.5,2024/8/5 0:00,2099/12/31 23:59
,3086,Large Package Surcharge,LLR-1,LLR,"{""min_length"":""96.01"",""min_zone"":2,""max_zone"":2}",0,1,1,1,31.5,2024/8/5 0:00,2099/12/31 23:59
,3086,Large Package Surcharge,LLR-2,LLR,"{""min_length"":""96.01"",""min_zone"":3,""max_zone"":4}",0,1,1,1,33.5,2024/8/5 0:00,2099/12/31 23:59
,3086,Large Package Surcharge,LLR-3,LLR,"{""min_length"":""96.01"",""min_zone"":5,""max_zone"":6}",0,1,1,1,37.5,2024/8/5 0:00,2099/12/31 23:59
,3086,Large Package Surcharge,LLR-4,LLR,"{""min_length"":""96.01"",""min_zone"":7,""max_zone"":8}",0,1,1,1,39.5,2024/8/5 0:00,2099/12/31 23:59
,3086,Large Package Surcharge,LPS-1,LPS,"{""min_girth"":""130.01"",""min_zone"":2,""max_zone"":2}",1,0,1,1,26.5,2024/8/5 0:00,2099/12/31 23:59
,3086,Large Package Surcharge,LPS-2,LPS,"{""min_girth"":""130.01"",""min_zone"":3,""max_zone"":4}",1,0,1,1,29,2024/8/5 0:00,2099/12/31 23:59
,3086,Large Package Surcharge,LPS-3,LPS,"{""min_girth"":""130.01"",""min_zone"":5,""max_zone"":6}",1,0,1,1,31.5,2024/8/5 0:00,2099/12/31 23:59
,3086,Large Package Surcharge,LPS-4,LPS,"{""min_girth"":""130.01"",""min_zone"":7,""max_zone"":8}",1,0,1,1,33.5,2024/8/5 0:00,2099/12/31 23:59
,3086,Large Package Surcharge,LPR-1,LPR,"{""min_girth"":""130.01"",""min_zone"":2,""max_zone"":2}",0,1,1,1,31.5,2024/8/5 0:00,2099/12/31 23:59
,3086,Large Package Surcharge,LPR-2,LPR,"{""min_girth"":""130.01"",""min_zone"":3,""max_zone"":4}",0,1,1,1,33.5,2024/8/5 0:00,2099/12/31 23:59
,3086,Large Package Surcharge,LPR-3,LPR,"{""min_girth"":""130.01"",""min_zone"":5,""max_zone"":6}",0,1,1,1,37.5,2024/8/5 0:00,2099/12/31 23:59
,3086,Large Package Surcharge,LPR-4,LPR,"{""min_girth"":""130.01"",""min_zone"":7,""max_zone"":8}",0,1,1,1,39.5,2024/8/5 0:00,2099/12/31 23:59
,3086,Address Correction,ADC,ADC,,1,1,1,0,22.5,2024/8/5 0:00,2099/12/31 23:59
,3086,Delivery Confirmation Signature,DCS,DCS,{"signature_type":"direct"},0,1,1,1,6.75,2024/8/5 0:00,2099/12/31 23:59
,3086,Delivery Confirmation Signature Commercial,CSG,CSG,{"signature_type":"direct"},1,0,1,1,6.75,2024/8/5 0:00,2099/12/31 23:59
,3086,Adult Signature Required,ADS,ADS,{"signature_type":"adult"},1,1,1,1,8.15,2024/8/5 0:00,2099/12/31 23:59
,3086,Delivery Area Surcharge Commercial,RDC-1,RDC,"{""AreaSurchargeZip"":""RDC"",""min_billed_weight"":""0.01"",""max_billed_weight"":""640.00""}",1,0,1,1,2.53,2024/8/5 0:00,2099/12/31 23:59
,3086,Delivery Area Surcharge Commercial,RDC-2,RDC,"{""AreaSurchargeZip"":""RDC"",""min_billed_weight"":""640.01"",""max_billed_weight"":""2400.00""}",1,0,1,1,2.53,2024/8/5 0:00,2099/12/31 23:59
